run_id	base_commit	head_commit	target_file	val_bpb	artifact_bytes	status	description
baseline_cuda_1gpu	NO_GIT_REPO	NO_GIT_REPO	train_gpt.py	1.37055561	12727054	baseline	Required one-GPU CUDA baseline run.
wd08_cuda_1gpu	c41aeaf19e982e794e725480f4972c6c63780f22	c41aeaf19e982e794e725480f4972c6c63780f22	train_gpt.py	1.34766001	11306662	candidate	WEIGHT_DECAY=0.08 improved post-quant val_bpb and artifact size vs wd06.
wd04_cuda_1gpu	NO_GIT_REPO	NO_GIT_REPO	train_gpt.py	1.35393491	11880116	candidate	WEIGHT_DECAY=0.04 improved post-quant val_bpb and artifact size vs baseline.
wd06_cuda_1gpu	4b5f19e5be76890831fa3eabf2623a6f4980b228	4b5f19e5be76890831fa3eabf2623a6f4980b228	train_gpt.py	1.35041193	11546163	candidate	WEIGHT_DECAY=0.06 improved post-quant val_bpb and artifact size vs wd04.
wd10_cuda_1gpu	c41aeaf19e982e794e725480f4972c6c63780f22	c41aeaf19e982e794e725480f4972c6c63780f22	train_gpt.py	1.34741151	11019259	candidate	WEIGHT_DECAY=0.10 improved post-quant val_bpb and artifact size vs wd08.
wd12_cuda_1gpu	c41aeaf19e982e794e725480f4972c6c63780f22	c41aeaf19e982e794e725480f4972c6c63780f22	train_gpt.py	NA	NA	crash	Interrupted by operator update before completion; no final quantized metrics produced.
wd12_retry_cuda_1gpu	f63524b	f63524b	train_gpt.py	1.34886821	10743217	discard	WEIGHT_DECAY=0.12 retry completed; post-quant val_bpb regressed vs wd10.
wd10_wd3600_cuda_1gpu	e2b183c71b25964a4723a8661337f74d32308e02	e2b183c71b25964a4723a8661337f74d32308e02	train_gpt.py	1.37749130	9569976	discard	WEIGHT_DECAY=0.10 + WARMDOWN_ITERS=3600 shrank artifact but severely regressed post-quant val_bpb.
wd10_wd800_cuda_1gpu	e2b183c71b25964a4723a8661337f74d32308e02	e2b183c71b25964a4723a8661337f74d32308e02	train_gpt.py	1.34455455	11344287	candidate	WEIGHT_DECAY=0.10 + WARMDOWN_ITERS=800 improved post-quant val_bpb vs wd10.
wd11_wd800_cuda_1gpu	684d7ee3cbc919d68185ef639cceb0e3c7111075	684d7ee3cbc919d68185ef639cceb0e3c7111075	train_gpt.py	1.34608144	11159653	discard	WEIGHT_DECAY=0.11 + WARMDOWN_ITERS=800 slightly regressed vs wd10_wd800.
wd09_wd800_cuda_1gpu	684d7ee3cbc919d68185ef639cceb0e3c7111075	684d7ee3cbc919d68185ef639cceb0e3c7111075	train_gpt.py	NA	NA	crash	Interrupted during foreground-to-nohup transition; no final metrics.
wd09_wd800_retry_cuda_1gpu	684d7ee3cbc919d68185ef639cceb0e3c7111075	684d7ee3cbc919d68185ef639cceb0e3c7111075	train_gpt.py	NA	NA	crash	Initial nohup retry failed to establish stable process/log stream.
wd09_wd800_retry2_cuda_1gpu	684d7ee3cbc919d68185ef639cceb0e3c7111075	684d7ee3cbc919d68185ef639cceb0e3c7111075	train_gpt.py	1.34399922	11507230	candidate	WEIGHT_DECAY=0.09 + WARMDOWN_ITERS=800 improved post-quant val_bpb vs wd10_wd800.
wd08_wd800_cuda_1gpu	17bcad8a4f2489a7e4fb40280982e0ccba115f72	17bcad8a4f2489a7e4fb40280982e0ccba115f72	train_gpt.py	NA	NA	crash	Timed out/hung after step 400; terminated with no final quantized metrics.
wd095_wd800_cuda_1gpu	17bcad8a4f2489a7e4fb40280982e0ccba115f72	17bcad8a4f2489a7e4fb40280982e0ccba115f72	train_gpt.py	1.34477510	11417122	discard	WEIGHT_DECAY=0.095 + WARMDOWN_ITERS=800 was slightly worse than wd09_wd800_retry2.
wd09_wd700_cuda_1gpu	17bcad8a4f2489a7e4fb40280982e0ccba115f72	17bcad8a4f2489a7e4fb40280982e0ccba115f72	train_gpt.py	1.34447098	11577324	discard	WEIGHT_DECAY=0.09 + WARMDOWN_ITERS=700 regressed vs wd09_wd800_retry2.
wd09_wd900_cuda_1gpu	3002def7c0aead10109c39bf8ae0bce562b688b6	3002def7c0aead10109c39bf8ae0bce562b688b6	train_gpt.py	1.33217017	11504626	candidate	WEIGHT_DECAY=0.09 + WARMDOWN_ITERS=900 improved post-quant val_bpb vs wd09_wd800_retry2.
wd09_wd1000_cuda_1gpu	9b24f3c	9b24f3c	train_gpt.py	1.33422149	11472633	discard	WEIGHT_DECAY=0.09 + WARMDOWN_ITERS=1000 slightly regressed vs wd09_wd900 while shrinking artifact.
wd09_wd900_mu99w1500_cuda_1gpu	9b24f3c	9b24f3c	train_gpt.py	1.33293121	11796808	discard	Record-style Muon momentum warmup to 0.99 over 1500 steps slightly regressed vs wd09_wd900 and increased artifact size.
wd09_wd900_lr020203_cuda_1gpu	9b24f3c	9b24f3c	train_gpt.py	1.33398534	11120850	discard	Lower-LR recipe (0.03/0.02/0.02) shrank the artifact but slightly regressed vs wd09_wd900 on post-quant val_bpb.
wd09_wd900_tailavg_qmat_cuda_1gpu	9b24f3c	9b24f3c	train_gpt.py	1.36150089	11568724	discard	Custom late-run averaging of large matrices only badly regressed post-quant val_bpb despite strong pre-quant validation.
wd09_wd900_smearmix_cuda_1gpu	9b24f3c	9b24f3c	train_gpt.py	1.32826526	11518733	candidate	Modified SmearGate-style embedding mixing improved post-quant val_bpb vs wd09_wd900 without materially increasing artifact size.
